light_model,heavy_model,router_ratio,disc_ratio,threshold,latency,fid
0,1,0.0,0.0,0.0,0.5,29.75
0,1,0.0,0.1,0.1,0.63,28.63
0,1,0.0,0.2,0.2,0.76,27.84
0,1,0.0,0.3,0.3,0.89,27.22
0,1,0.0,0.4,0.4,1.02,26.64
0,1,0.0,0.5,0.5,1.15,26.06
0,1,0.0,0.6,0.6,1.28,25.57
0,1,0.0,0.7,0.7,1.41,25.15
0,1,0.0,0.8,0.8,1.54,25.02
0,1,0.0,0.9,0.9,1.67,25.02
0,1,0.0,1.0,1.0,1.8,25.23
0,1,0.1,0.0,0.1,0.58,28.51
0,1,0.1,0.1,0.19,0.7,27.66
0,1,0.1,0.2,0.28,0.81,27.06
0,1,0.1,0.3,0.37,0.93,26.59
0,1,0.1,0.4,0.46,1.05,26.17
0,1,0.1,0.5,0.55,1.16,25.71
0,1,0.1,0.6,0.64,1.28,25.32
0,1,0.1,0.7,0.73,1.4,25.01
0,1,0.1,0.8,0.82,1.52,24.94
0,1,0.1,0.9,0.91,1.63,25.0
0,1,0.1,1.0,1.0,1.75,25.23
0,1,0.2,0.0,0.2,0.66,27.43
0,1,0.2,0.1,0.28,0.76,26.79
0,1,0.2,0.2,0.36,0.87,26.35
0,1,0.2,0.3,0.44,0.97,26.02
0,1,0.2,0.4,0.52,1.08,25.75
0,1,0.2,0.5,0.6,1.18,25.4
0,1,0.2,0.6,0.68,1.28,25.14
0,1,0.2,0.7,0.76,1.39,24.93
0,1,0.2,0.8,0.84,1.49,24.93
0,1,0.2,0.9,0.92,1.6,25.02
0,1,0.2,1.0,1.0,1.7,25.23
0,1,0.3,0.0,0.3,0.74,26.54
0,1,0.3,0.1,0.37,0.83,26.08
0,1,0.3,0.2,0.44,0.92,25.75
0,1,0.3,0.3,0.51,1.01,25.54
0,1,0.3,0.4,0.58,1.1,25.41
0,1,0.3,0.5,0.65,1.2,25.19
0,1,0.3,0.6,0.72,1.29,25.0
0,1,0.3,0.7,0.79,1.38,24.89
0,1,0.3,0.8,0.86,1.47,24.94
0,1,0.3,0.9,0.93,1.56,25.05
0,1,0.3,1.0,1.0,1.65,25.23
0,1,0.4,0.0,0.4,0.82,25.98
0,1,0.4,0.1,0.46,0.9,25.66
0,1,0.4,0.2,0.52,0.98,25.45
0,1,0.4,0.3,0.58,1.05,25.33
0,1,0.4,0.4,0.64,1.13,25.25
0,1,0.4,0.5,0.7,1.21,25.08
0,1,0.4,0.6,0.76,1.29,24.96
0,1,0.4,0.7,0.82,1.37,24.9
0,1,0.4,0.8,0.88,1.44,24.96
0,1,0.4,0.9,0.94,1.52,25.07
0,1,0.4,1.0,1.0,1.6,25.23
0,1,0.5,0.0,0.5,0.9,25.56
0,1,0.5,0.1,0.55,0.96,25.35
0,1,0.5,0.2,0.6,1.03,25.2
0,1,0.5,0.3,0.65,1.1,25.16
0,1,0.5,0.4,0.7,1.16,25.14
0,1,0.5,0.5,0.75,1.23,25.02
0,1,0.5,0.6,0.8,1.29,24.94
0,1,0.5,0.7,0.85,1.36,24.92
0,1,0.5,0.8,0.9,1.42,25.02
0,1,0.5,0.9,0.95,1.48,25.1
0,1,0.5,1.0,1.0,1.55,25.23
0,1,0.6,0.0,0.6,0.98,25.08
0,1,0.6,0.1,0.64,1.03,25.0
0,1,0.6,0.2,0.68,1.08,24.97
0,1,0.6,0.3,0.72,1.14,25.01
0,1,0.6,0.4,0.76,1.19,25.06
0,1,0.6,0.5,0.8,1.24,24.98
0,1,0.6,0.6,0.84,1.29,24.93
0,1,0.6,0.7,0.88,1.34,24.92
0,1,0.6,0.8,0.92,1.4,25.05
0,1,0.6,0.9,0.96,1.45,25.13
0,1,0.6,1.0,1.0,1.5,25.23
0,1,0.7,0.0,0.7,1.06,24.91
0,1,0.7,0.1,0.73,1.1,24.88
0,1,0.7,0.2,0.76,1.14,24.91
0,1,0.7,0.3,0.79,1.18,24.98
0,1,0.7,0.4,0.82,1.22,25.01
0,1,0.7,0.5,0.85,1.26,25.02
0,1,0.7,0.6,0.88,1.29,24.99
0,1,0.7,0.7,0.91,1.33,25.01
0,1,0.7,0.8,0.94,1.37,25.11
0,1,0.7,0.9,0.97,1.41,25.17
0,1,0.7,1.0,1.0,1.45,25.23
0,1,0.8,0.0,0.8,1.14,24.89
0,1,0.8,0.1,0.82,1.17,24.9
0,1,0.8,0.2,0.84,1.19,24.93
0,1,0.8,0.3,0.86,1.22,24.99
0,1,0.8,0.4,0.88,1.24,25.06
0,1,0.8,0.5,0.9,1.27,25.06
0,1,0.8,0.6,0.92,1.3,25.04
0,1,0.8,0.7,0.94,1.32,25.05
0,1,0.8,0.8,0.96,1.35,25.15
0,1,0.8,0.9,0.98,1.37,25.2
0,1,0.8,1.0,1.0,1.4,25.23
0,1,0.9,0.0,0.9,1.22,24.97
0,1,0.9,0.1,0.91,1.23,24.99
0,1,0.9,0.2,0.92,1.25,25.03
0,1,0.9,0.3,0.93,1.26,25.05
0,1,0.9,0.4,0.94,1.27,25.09
0,1,0.9,0.5,0.95,1.29,25.11
0,1,0.9,0.6,0.96,1.3,25.11
0,1,0.9,0.7,0.97,1.31,25.15
0,1,0.9,0.8,0.98,1.32,25.18
0,1,0.9,0.9,0.99,1.34,25.2
0,1,0.9,1.0,1.0,1.35,25.23
0,1,1.0,0.0,1.0,1.3,25.23
0,1,1.0,0.1,1.0,1.3,25.23
0,1,1.0,0.2,1.0,1.3,25.23
0,1,1.0,0.3,1.0,1.3,25.23
0,1,1.0,0.4,1.0,1.3,25.23
0,1,1.0,0.5,1.0,1.3,25.23
0,1,1.0,0.6,1.0,1.3,25.23
0,1,1.0,0.7,1.0,1.3,25.23
0,1,1.0,0.8,1.0,1.3,25.23
0,1,1.0,0.9,1.0,1.3,25.23
0,1,1.0,1.0,1.0,1.3,25.23
0,2,0.0,0.0,0.0,0.5,29.75
0,2,0.0,0.1,0.1,1.8,27.46
0,2,0.0,0.2,0.2,3.1,26.03
0,2,0.0,0.3,0.3,4.4,24.89
0,2,0.0,0.4,0.4,5.7,23.89
0,2,0.0,0.5,0.5,7.0,22.97
0,2,0.0,0.6,0.6,8.3,22.13
0,2,0.0,0.7,0.7,9.6,21.46
0,2,0.0,0.8,0.8,10.9,21.05
0,2,0.0,0.9,0.9,12.2,20.76
0,2,0.0,1.0,1.0,13.5,20.61
0,2,0.1,0.0,0.1,1.75,27.97
0,2,0.1,0.1,0.19,2.92,26.12
0,2,0.1,0.2,0.28,4.09,25.0
0,2,0.1,0.3,0.37,5.26,24.11
0,2,0.1,0.4,0.46,6.43,23.32
0,2,0.1,0.5,0.55,7.6,22.53
0,2,0.1,0.6,0.64,8.77,21.83
0,2,0.1,0.7,0.73,9.94,21.28
0,2,0.1,0.8,0.82,11.11,20.95
0,2,0.1,0.9,0.91,12.28,20.74
0,2,0.1,1.0,1.0,13.45,20.61
0,2,0.2,0.0,0.2,3.0,26.29
0,2,0.2,0.1,0.28,4.04,24.86
0,2,0.2,0.2,0.36,5.08,23.99
0,2,0.2,0.3,0.44,6.12,23.31
0,2,0.2,0.4,0.52,7.16,22.72
0,2,0.2,0.5,0.6,8.2,22.08
0,2,0.2,0.6,0.68,9.24,21.54
0,2,0.2,0.7,0.76,10.28,21.1
0,2,0.2,0.8,0.84,11.32,20.87
0,2,0.2,0.9,0.92,12.36,20.73
0,2,0.2,1.0,1.0,13.4,20.61
0,2,0.3,0.0,0.3,4.25,24.94
0,2,0.3,0.1,0.37,5.16,23.79
0,2,0.3,0.2,0.44,6.07,23.09
0,2,0.3,0.3,0.51,6.98,22.57
0,2,0.3,0.4,0.58,7.89,22.18
0,2,0.3,0.5,0.65,8.8,21.7
0,2,0.3,0.6,0.72,9.71,21.27
0,2,0.3,0.7,0.79,10.62,21.01
0,2,0.3,0.8,0.86,11.53,20.83
0,2,0.3,0.9,0.93,12.44,20.73
0,2,0.3,1.0,1.0,13.35,20.61
0,2,0.4,0.0,0.4,5.5,23.75
0,2,0.4,0.1,0.46,6.28,22.86
0,2,0.4,0.2,0.52,7.06,22.37
0,2,0.4,0.3,0.58,7.84,21.99
0,2,0.4,0.4,0.64,8.62,21.71
0,2,0.4,0.5,0.7,9.4,21.35
0,2,0.4,0.6,0.76,10.18,21.04
0,2,0.4,0.7,0.82,10.96,20.87
0,2,0.4,0.8,0.88,11.74,20.74
0,2,0.4,0.9,0.94,12.52,20.67
0,2,0.4,1.0,1.0,13.3,20.61
0,2,0.5,0.0,0.5,6.75,22.83
0,2,0.5,0.1,0.55,7.4,22.14
0,2,0.5,0.2,0.6,8.05,21.79
0,2,0.5,0.3,0.65,8.7,21.56
0,2,0.5,0.4,0.7,9.35,21.37
0,2,0.5,0.5,0.75,10.0,21.09
0,2,0.5,0.6,0.8,10.65,20.87
0,2,0.5,0.7,0.85,11.3,20.77
0,2,0.5,0.8,0.9,11.95,20.71
0,2,0.5,0.9,0.95,12.6,20.66
0,2,0.5,1.0,1.0,13.25,20.61
0,2,0.6,0.0,0.6,8.0,21.95
0,2,0.6,0.1,0.64,8.52,21.45
0,2,0.6,0.2,0.68,9.04,21.28
0,2,0.6,0.3,0.72,9.56,21.16
0,2,0.6,0.4,0.76,10.08,21.07
0,2,0.6,0.5,0.8,10.6,20.86
0,2,0.6,0.6,0.84,11.12,20.72
0,2,0.6,0.7,0.88,11.64,20.64
0,2,0.6,0.8,0.92,12.16,20.65
0,2,0.6,0.9,0.96,12.68,20.63
0,2,0.6,1.0,1.0,13.2,20.61
0,2,0.7,0.0,0.7,9.25,21.38
0,2,0.7,0.1,0.73,9.64,21.05
0,2,0.7,0.2,0.76,10.03,20.95
0,2,0.7,0.3,0.79,10.42,20.91
0,2,0.7,0.4,0.82,10.81,20.86
0,2,0.7,0.5,0.85,11.2,20.75
0,2,0.7,0.6,0.88,11.59,20.68
0,2,0.7,0.7,0.91,11.98,20.64
0,2,0.7,0.8,0.94,12.37,20.65
0,2,0.7,0.9,0.97,12.76,20.65
0,2,0.7,1.0,1.0,13.15,20.61
0,2,0.8,0.0,0.8,10.5,20.96
0,2,0.8,0.1,0.82,10.76,20.8
0,2,0.8,0.2,0.84,11.02,20.76
0,2,0.8,0.3,0.86,11.28,20.73
0,2,0.8,0.4,0.88,11.54,20.75
0,2,0.8,0.5,0.9,11.8,20.69
0,2,0.8,0.6,0.92,12.06,20.65
0,2,0.8,0.7,0.94,12.32,20.63
0,2,0.8,0.8,0.96,12.58,20.66
0,2,0.8,0.9,0.98,12.84,20.65
0,2,0.8,1.0,1.0,13.1,20.61
0,2,0.9,0.0,0.9,11.75,20.62
0,2,0.9,0.1,0.91,11.88,20.59
0,2,0.9,0.2,0.92,12.01,20.61
0,2,0.9,0.3,0.93,12.14,20.6
0,2,0.9,0.4,0.94,12.27,20.62
0,2,0.9,0.5,0.95,12.4,20.63
0,2,0.9,0.6,0.96,12.53,20.63
0,2,0.9,0.7,0.97,12.66,20.65
0,2,0.9,0.8,0.98,12.79,20.65
0,2,0.9,0.9,0.99,12.92,20.63
0,2,0.9,1.0,1.0,13.05,20.61
0,2,1.0,0.0,1.0,13.0,20.61
0,2,1.0,0.1,1.0,13.0,20.61
0,2,1.0,0.2,1.0,13.0,20.61
0,2,1.0,0.3,1.0,13.0,20.61
0,2,1.0,0.4,1.0,13.0,20.61
0,2,1.0,0.5,1.0,13.0,20.61
0,2,1.0,0.6,1.0,13.0,20.61
0,2,1.0,0.7,1.0,13.0,20.61
0,2,1.0,0.8,1.0,13.0,20.61
0,2,1.0,0.9,1.0,13.0,20.61
0,2,1.0,1.0,1.0,13.0,20.61
0,3,0.0,0.0,0.0,0.5,29.75
0,3,0.0,0.1,0.1,3.2,27.45
0,3,0.0,0.2,0.2,5.9,25.93
0,3,0.0,0.3,0.3,8.6,24.68
0,3,0.0,0.4,0.4,11.3,23.58
0,3,0.0,0.5,0.5,14.0,22.46
0,3,0.0,0.6,0.6,16.7,21.63
0,3,0.0,0.7,0.7,19.4,20.83
0,3,0.0,0.8,0.8,22.1,20.36
0,3,0.0,0.9,0.9,24.8,19.97
0,3,0.0,1.0,1.0,27.5,19.95
0,3,0.1,0.0,0.1,3.15,27.59
0,3,0.1,0.1,0.19,5.58,25.78
0,3,0.1,0.2,0.28,8.01,24.6
0,3,0.1,0.3,0.37,10.44,23.64
0,3,0.1,0.4,0.46,12.87,22.8
0,3,0.1,0.5,0.55,15.3,21.87
0,3,0.1,0.6,0.64,17.73,21.2
0,3,0.1,0.7,0.73,20.16,20.57
0,3,0.1,0.8,0.82,22.59,20.21
0,3,0.1,0.9,0.91,25.02,19.93
0,3,0.1,1.0,1.0,27.45,19.95
0,3,0.2,0.0,0.2,5.8,25.67
0,3,0.2,0.1,0.28,7.96,24.28
0,3,0.2,0.2,0.36,10.12,23.39
0,3,0.2,0.3,0.44,12.28,22.65
0,3,0.2,0.4,0.52,14.44,22.07
0,3,0.2,0.5,0.6,16.6,21.38
0,3,0.2,0.6,0.68,18.76,20.87
0,3,0.2,0.7,0.76,20.92,20.4
0,3,0.2,0.8,0.84,23.08,20.15
0,3,0.2,0.9,0.92,25.24,19.93
0,3,0.2,1.0,1.0,27.4,19.95
0,3,0.3,0.0,0.3,8.45,24.2
0,3,0.3,0.1,0.37,10.34,23.13
0,3,0.3,0.2,0.44,12.23,22.41
0,3,0.3,0.3,0.51,14.12,21.88
0,3,0.3,0.4,0.58,16.01,21.51
0,3,0.3,0.5,0.65,17.9,21.02
0,3,0.3,0.6,0.72,19.79,20.61
0,3,0.3,0.7,0.79,21.68,20.26
0,3,0.3,0.8,0.86,23.57,20.08
0,3,0.3,0.9,0.93,25.46,19.93
0,3,0.3,1.0,1.0,27.35,19.95
0,3,0.4,0.0,0.4,11.1,22.98
0,3,0.4,0.1,0.46,12.72,22.16
0,3,0.4,0.2,0.52,14.34,21.65
0,3,0.4,0.3,0.58,15.96,21.29
0,3,0.4,0.4,0.64,17.58,21.05
0,3,0.4,0.5,0.7,19.2,20.65
0,3,0.4,0.6,0.76,20.82,20.39
0,3,0.4,0.7,0.82,22.44,20.13
0,3,0.4,0.8,0.88,24.06,20.01
0,3,0.4,0.9,0.94,25.68,19.91
0,3,0.4,1.0,1.0,27.3,19.95
0,3,0.5,0.0,0.5,13.75,21.96
0,3,0.5,0.1,0.55,15.1,21.33
0,3,0.5,0.2,0.6,16.45,20.97
0,3,0.5,0.3,0.65,17.8,20.78
0,3,0.5,0.4,0.7,19.15,20.64
0,3,0.5,0.5,0.75,20.5,20.36
0,3,0.5,0.6,0.8,21.85,20.18
0,3,0.5,0.7,0.85,23.2,20.02
0,3,0.5,0.8,0.9,24.55,19.97
0,3,0.5,0.9,0.95,25.9,19.91
0,3,0.5,1.0,1.0,27.25,19.95
0,3,0.6,0.0,0.6,16.4,21.07
0,3,0.6,0.1,0.64,17.48,20.66
0,3,0.6,0.2,0.68,18.56,20.49
0,3,0.6,0.3,0.72,19.64,20.42
0,3,0.6,0.4,0.76,20.72,20.37
0,3,0.6,0.5,0.8,21.8,20.18
0,3,0.6,0.6,0.84,22.88,20.06
0,3,0.6,0.7,0.88,23.96,19.95
0,3,0.6,0.8,0.92,25.04,19.96
0,3,0.6,0.9,0.96,26.12,19.91
0,3,0.6,1.0,1.0,27.2,19.95
0,3,0.7,0.0,0.7,19.05,20.55
0,3,0.7,0.1,0.73,19.86,20.28
0,3,0.7,0.2,0.76,20.67,20.2
0,3,0.7,0.3,0.79,21.48,20.19
0,3,0.7,0.4,0.82,22.29,20.19
0,3,0.7,0.5,0.85,23.1,20.09
0,3,0.7,0.6,0.88,23.91,20.03
0,3,0.7,0.7,0.91,24.72,19.96
0,3,0.7,0.8,0.94,25.53,19.97
0,3,0.7,0.9,0.97,26.34,19.95
0,3,0.7,1.0,1.0,27.15,19.95
0,3,0.8,0.0,0.8,21.7,20.15
0,3,0.8,0.1,0.82,22.24,20.03
0,3,0.8,0.2,0.84,22.78,20.0
0,3,0.8,0.3,0.86,23.32,20.0
0,3,0.8,0.4,0.88,23.86,20.04
0,3,0.8,0.5,0.9,24.4,20.0
0,3,0.8,0.6,0.92,24.94,19.98
0,3,0.8,0.7,0.94,25.48,19.95
0,3,0.8,0.8,0.96,26.02,19.98
0,3,0.8,0.9,0.98,26.56,19.96
0,3,0.8,1.0,1.0,27.1,19.95
0,3,0.9,0.0,0.9,24.35,19.88
0,3,0.9,0.1,0.91,24.62,19.86
0,3,0.9,0.2,0.92,24.89,19.89
0,3,0.9,0.3,0.93,25.16,19.89
0,3,0.9,0.4,0.94,25.43,19.91
0,3,0.9,0.5,0.95,25.7,19.92
0,3,0.9,0.6,0.96,25.97,19.94
0,3,0.9,0.7,0.97,26.24,19.94
0,3,0.9,0.8,0.98,26.51,19.95
0,3,0.9,0.9,0.99,26.78,19.95
0,3,0.9,1.0,1.0,27.05,19.95
0,3,1.0,0.0,1.0,27.0,19.95
0,3,1.0,0.1,1.0,27.0,19.95
0,3,1.0,0.2,1.0,27.0,19.95
0,3,1.0,0.3,1.0,27.0,19.95
0,3,1.0,0.4,1.0,27.0,19.95
0,3,1.0,0.5,1.0,27.0,19.95
0,3,1.0,0.6,1.0,27.0,19.95
0,3,1.0,0.7,1.0,27.0,19.95
0,3,1.0,0.8,1.0,27.0,19.95
0,3,1.0,0.9,1.0,27.0,19.95
0,3,1.0,1.0,1.0,27.0,19.95
