light_model,heavy_model,router_ratio,disc_ratio,threshold,latency,fid
1,2,0.0,0.0,0.0,1.3,25.22
1,2,0.0,0.1,0.1,2.6,23.85
1,2,0.0,0.2,0.2,3.9,22.93
1,2,0.0,0.3,0.3,5.2,22.37
1,2,0.0,0.4,0.4,6.5,21.79
1,2,0.0,0.5,0.5,7.8,21.41
1,2,0.0,0.6,0.6,9.1,21.18
1,2,0.0,0.7,0.7,10.4,20.98
1,2,0.0,0.8,0.8,11.7,20.81
1,2,0.0,0.9,0.9,13.0,20.77
1,2,0.0,1.0,1.0,14.3,20.61
1,2,0.1,0.0,0.1,2.47,24.3
1,2,0.1,0.1,0.19,3.64,23.18
1,2,0.1,0.2,0.28,4.81,22.45
1,2,0.1,0.3,0.37,5.98,21.98
1,2,0.1,0.4,0.46,7.15,21.52
1,2,0.1,0.5,0.55,8.32,21.25
1,2,0.1,0.6,0.64,9.49,21.06
1,2,0.1,0.7,0.73,10.66,20.91
1,2,0.1,0.8,0.82,11.83,20.77
1,2,0.1,0.9,0.91,13.0,20.75
1,2,0.1,1.0,1.0,14.17,20.61
1,2,0.2,0.0,0.2,3.64,23.45
1,2,0.2,0.1,0.28,4.68,22.6
1,2,0.2,0.2,0.36,5.72,22.03
1,2,0.2,0.3,0.44,6.76,21.7
1,2,0.2,0.4,0.52,7.8,21.32
1,2,0.2,0.5,0.6,8.84,21.11
1,2,0.2,0.6,0.68,9.88,20.96
1,2,0.2,0.7,0.76,10.92,20.85
1,2,0.2,0.8,0.84,11.96,20.73
1,2,0.2,0.9,0.92,13.0,20.73
1,2,0.2,1.0,1.0,14.04,20.61
1,2,0.3,0.0,0.3,4.81,22.84
1,2,0.3,0.1,0.37,5.72,22.16
1,2,0.3,0.2,0.44,6.63,21.68
1,2,0.3,0.3,0.51,7.54,21.42
1,2,0.3,0.4,0.58,8.45,21.13
1,2,0.3,0.5,0.65,9.36,20.98
1,2,0.3,0.6,0.72,10.27,20.86
1,2,0.3,0.7,0.79,11.18,20.76
1,2,0.3,0.8,0.86,12.09,20.69
1,2,0.3,0.9,0.93,13.0,20.7
1,2,0.3,1.0,1.0,13.91,20.61
1,2,0.4,0.0,0.4,5.98,22.12
1,2,0.4,0.1,0.46,6.76,21.6
1,2,0.4,0.2,0.52,7.54,21.26
1,2,0.4,0.3,0.58,8.32,21.1
1,2,0.4,0.4,0.64,9.1,20.88
1,2,0.4,0.5,0.7,9.88,20.8
1,2,0.4,0.6,0.76,10.66,20.71
1,2,0.4,0.7,0.82,11.44,20.65
1,2,0.4,0.8,0.88,12.22,20.61
1,2,0.4,0.9,0.94,13.0,20.63
1,2,0.4,1.0,1.0,13.78,20.61
1,2,0.5,0.0,0.5,7.15,21.61
1,2,0.5,0.1,0.55,7.8,21.2
1,2,0.5,0.2,0.6,8.45,20.98
1,2,0.5,0.3,0.65,9.1,20.88
1,2,0.5,0.4,0.7,9.75,20.72
1,2,0.5,0.5,0.75,10.4,20.68
1,2,0.5,0.6,0.8,11.05,20.62
1,2,0.5,0.7,0.85,11.7,20.59
1,2,0.5,0.8,0.9,12.35,20.57
1,2,0.5,0.9,0.95,13.0,20.58
1,2,0.5,1.0,1.0,13.65,20.61
1,2,0.6,0.0,0.6,8.32,21.22
1,2,0.6,0.1,0.64,8.84,20.93
1,2,0.6,0.2,0.68,9.36,20.79
1,2,0.6,0.3,0.72,9.88,20.73
1,2,0.6,0.4,0.76,10.4,20.62
1,2,0.6,0.5,0.8,10.92,20.59
1,2,0.6,0.6,0.84,11.44,20.54
1,2,0.6,0.7,0.88,11.96,20.54
1,2,0.6,0.8,0.92,12.48,20.55
1,2,0.6,0.9,0.96,13.0,20.57
1,2,0.6,1.0,1.0,13.52,20.61
1,2,0.7,0.0,0.7,9.49,20.95
1,2,0.7,0.1,0.73,9.88,20.75
1,2,0.7,0.2,0.76,10.27,20.65
1,2,0.7,0.3,0.79,10.66,20.62
1,2,0.7,0.4,0.82,11.05,20.56
1,2,0.7,0.5,0.85,11.44,20.54
1,2,0.7,0.6,0.88,11.83,20.53
1,2,0.7,0.7,0.91,12.22,20.55
1,2,0.7,0.8,0.94,12.61,20.58
1,2,0.7,0.9,0.97,13.0,20.59
1,2,0.7,1.0,1.0,13.39,20.61
1,2,0.8,0.0,0.8,10.66,20.7
1,2,0.8,0.1,0.82,10.92,20.59
1,2,0.8,0.2,0.84,11.18,20.55
1,2,0.8,0.3,0.86,11.44,20.54
1,2,0.8,0.4,0.88,11.7,20.52
1,2,0.8,0.5,0.9,11.96,20.52
1,2,0.8,0.6,0.92,12.22,20.5
1,2,0.8,0.7,0.94,12.48,20.54
1,2,0.8,0.8,0.96,12.74,20.57
1,2,0.8,0.9,0.98,13.0,20.59
1,2,0.8,1.0,1.0,13.26,20.61
1,2,0.9,0.0,0.9,11.83,20.58
1,2,0.9,0.1,0.91,11.96,20.57
1,2,0.9,0.2,0.92,12.09,20.58
1,2,0.9,0.3,0.93,12.22,20.59
1,2,0.9,0.4,0.94,12.35,20.59
1,2,0.9,0.5,0.95,12.48,20.57
1,2,0.9,0.6,0.96,12.61,20.57
1,2,0.9,0.7,0.97,12.74,20.59
1,2,0.9,0.8,0.98,12.87,20.6
1,2,0.9,0.9,0.99,13.0,20.61
1,2,0.9,1.0,1.0,13.13,20.61
1,2,1.0,0.0,1.0,13.0,20.61
1,2,1.0,0.1,1.0,13.0,20.61
1,2,1.0,0.2,1.0,13.0,20.61
1,2,1.0,0.3,1.0,13.0,20.61
1,2,1.0,0.4,1.0,13.0,20.61
1,2,1.0,0.5,1.0,13.0,20.61
1,2,1.0,0.6,1.0,13.0,20.61
1,2,1.0,0.7,1.0,13.0,20.61
1,2,1.0,0.8,1.0,13.0,20.61
1,2,1.0,0.9,1.0,13.0,20.61
1,2,1.0,1.0,1.0,13.0,20.61
1,3,0.0,0.0,0.0,1.3,25.22
1,3,0.0,0.1,0.1,4.0,23.95
1,3,0.0,0.2,0.2,6.7,23.12
1,3,0.0,0.3,0.3,9.4,22.51
1,3,0.0,0.4,0.4,12.1,21.93
1,3,0.0,0.5,0.5,14.8,21.4
1,3,0.0,0.6,0.6,17.5,20.99
1,3,0.0,0.7,0.7,20.2,20.63
1,3,0.0,0.8,0.8,22.9,20.34
1,3,0.0,0.9,0.9,25.6,20.13
1,3,0.0,1.0,1.0,28.3,19.95
1,3,0.1,0.0,0.1,3.87,24.21
1,3,0.1,0.1,0.19,6.3,23.21
1,3,0.1,0.2,0.28,8.73,22.56
1,3,0.1,0.3,0.37,11.16,22.06
1,3,0.1,0.4,0.46,13.59,21.58
1,3,0.1,0.5,0.55,16.02,21.14
1,3,0.1,0.6,0.64,18.45,20.8
1,3,0.1,0.7,0.73,20.88,20.5
1,3,0.1,0.8,0.82,23.31,20.27
1,3,0.1,0.9,0.91,25.74,20.1
1,3,0.1,1.0,1.0,28.17,19.95
1,3,0.2,0.0,0.2,6.44,23.25
1,3,0.2,0.1,0.28,8.6,22.48
1,3,0.2,0.2,0.36,10.76,21.99
1,3,0.2,0.3,0.44,12.92,21.6
1,3,0.2,0.4,0.52,15.08,21.21
1,3,0.2,0.5,0.6,17.24,20.89
1,3,0.2,0.6,0.68,19.4,20.59
1,3,0.2,0.7,0.76,21.56,20.38
1,3,0.2,0.8,0.84,23.72,20.22
1,3,0.2,0.9,0.92,25.88,20.08
1,3,0.2,1.0,1.0,28.04,19.95
1,3,0.3,0.0,0.3,9.01,22.57
1,3,0.3,0.1,0.37,10.9,21.97
1,3,0.3,0.2,0.44,12.79,21.56
1,3,0.3,0.3,0.51,14.68,21.27
1,3,0.3,0.4,0.58,16.57,20.97
1,3,0.3,0.5,0.65,18.46,20.71
1,3,0.3,0.6,0.72,20.35,20.47
1,3,0.3,0.7,0.79,22.24,20.31
1,3,0.3,0.8,0.86,24.13,20.16
1,3,0.3,0.9,0.93,26.02,20.06
1,3,0.3,1.0,1.0,27.91,19.95
1,3,0.4,0.0,0.4,11.58,21.86
1,3,0.4,0.1,0.46,13.2,21.4
1,3,0.4,0.2,0.52,14.82,21.12
1,3,0.4,0.3,0.58,16.44,20.92
1,3,0.4,0.4,0.64,18.06,20.69
1,3,0.4,0.5,0.7,19.68,20.51
1,3,0.4,0.6,0.76,21.3,20.32
1,3,0.4,0.7,0.82,22.92,20.2
1,3,0.4,0.8,0.88,24.54,20.1
1,3,0.4,0.9,0.94,26.16,20.03
1,3,0.4,1.0,1.0,27.78,19.95
1,3,0.5,0.0,0.5,14.15,21.25
1,3,0.5,0.1,0.55,15.5,20.91
1,3,0.5,0.2,0.6,16.85,20.72
1,3,0.5,0.3,0.65,18.2,20.58
1,3,0.5,0.4,0.7,19.55,20.45
1,3,0.5,0.5,0.75,20.9,20.33
1,3,0.5,0.6,0.8,22.25,20.2
1,3,0.5,0.7,0.85,23.6,20.13
1,3,0.5,0.8,0.9,24.95,20.05
1,3,0.5,0.9,0.95,26.3,20.0
1,3,0.5,1.0,1.0,27.65,19.95
1,3,0.6,0.0,0.6,16.72,20.82
1,3,0.6,0.1,0.64,17.8,20.59
1,3,0.6,0.2,0.68,18.88,20.47
1,3,0.6,0.3,0.72,19.96,20.37
1,3,0.6,0.4,0.76,21.04,20.3
1,3,0.6,0.5,0.8,22.12,20.22
1,3,0.6,0.6,0.84,23.2,20.11
1,3,0.6,0.7,0.88,24.28,20.07
1,3,0.6,0.8,0.92,25.36,20.02
1,3,0.6,0.9,0.96,26.44,19.98
1,3,0.6,1.0,1.0,27.52,19.95
1,3,0.7,0.0,0.7,19.29,20.48
1,3,0.7,0.1,0.73,20.1,20.32
1,3,0.7,0.2,0.76,20.91,20.24
1,3,0.7,0.3,0.79,21.72,20.18
1,3,0.7,0.4,0.82,22.53,20.17
1,3,0.7,0.5,0.85,23.34,20.11
1,3,0.7,0.6,0.88,24.15,20.04
1,3,0.7,0.7,0.91,24.96,20.03
1,3,0.7,0.8,0.94,25.77,20.0
1,3,0.7,0.9,0.97,26.58,19.96
1,3,0.7,1.0,1.0,27.39,19.95
1,3,0.8,0.0,0.8,21.86,20.2
1,3,0.8,0.1,0.82,22.4,20.13
1,3,0.8,0.2,0.84,22.94,20.09
1,3,0.8,0.3,0.86,23.48,20.05
1,3,0.8,0.4,0.88,24.02,20.07
1,3,0.8,0.5,0.9,24.56,20.04
1,3,0.8,0.6,0.92,25.1,20.0
1,3,0.8,0.7,0.94,25.64,20.01
1,3,0.8,0.8,0.96,26.18,19.99
1,3,0.8,0.9,0.98,26.72,19.96
1,3,0.8,1.0,1.0,27.26,19.95
1,3,0.9,0.0,0.9,24.43,20.02
1,3,0.9,0.1,0.91,24.7,20.01
1,3,0.9,0.2,0.92,24.97,20.01
1,3,0.9,0.3,0.93,25.24,20.01
1,3,0.9,0.4,0.94,25.51,20.01
1,3,0.9,0.5,0.95,25.78,19.99
1,3,0.9,0.6,0.96,26.05,19.98
1,3,0.9,0.7,0.97,26.32,19.99
1,3,0.9,0.8,0.98,26.59,19.97
1,3,0.9,0.9,0.99,26.86,19.95
1,3,0.9,1.0,1.0,27.13,19.95
1,3,1.0,0.0,1.0,27.0,19.95
1,3,1.0,0.1,1.0,27.0,19.95
1,3,1.0,0.2,1.0,27.0,19.95
1,3,1.0,0.3,1.0,27.0,19.95
1,3,1.0,0.4,1.0,27.0,19.95
1,3,1.0,0.5,1.0,27.0,19.95
1,3,1.0,0.6,1.0,27.0,19.95
1,3,1.0,0.7,1.0,27.0,19.95
1,3,1.0,0.8,1.0,27.0,19.95
1,3,1.0,0.9,1.0,27.0,19.95
1,3,1.0,1.0,1.0,27.0,19.95
2,3,0.0,0.0,0.0,13.0,20.61
2,3,0.0,0.1,0.1,15.7,20.26
2,3,0.0,0.2,0.2,18.4,20.02
2,3,0.0,0.3,0.3,21.1,19.75
2,3,0.0,0.4,0.4,23.8,19.48
2,3,0.0,0.5,0.5,26.5,19.42
2,3,0.0,0.6,0.6,29.2,19.45
2,3,0.0,0.7,0.7,31.9,19.44
2,3,0.0,0.8,0.8,34.6,19.49
2,3,0.0,0.9,0.9,37.3,19.68
2,3,0.0,1.0,1.0,40.0,19.95
2,3,0.1,0.0,0.1,14.4,20.16
2,3,0.1,0.1,0.19,16.83,19.93
2,3,0.1,0.2,0.28,19.26,19.76
2,3,0.1,0.3,0.37,21.69,19.58
2,3,0.1,0.4,0.46,24.12,19.41
2,3,0.1,0.5,0.55,26.55,19.37
2,3,0.1,0.6,0.64,28.98,19.45
2,3,0.1,0.7,0.73,31.41,19.46
2,3,0.1,0.8,0.82,33.84,19.52
2,3,0.1,0.9,0.91,36.27,19.69
2,3,0.1,1.0,1.0,38.7,19.95
2,3,0.2,0.0,0.2,15.8,19.77
2,3,0.2,0.1,0.28,17.96,19.64
2,3,0.2,0.2,0.36,20.12,19.54
2,3,0.2,0.3,0.44,22.28,19.42
2,3,0.2,0.4,0.52,24.44,19.3
2,3,0.2,0.5,0.6,26.6,19.29
2,3,0.2,0.6,0.68,28.76,19.39
2,3,0.2,0.7,0.76,30.92,19.47
2,3,0.2,0.8,0.84,33.08,19.55
2,3,0.2,0.9,0.92,35.24,19.71
2,3,0.2,1.0,1.0,37.4,19.95
2,3,0.3,0.0,0.3,17.2,19.52
2,3,0.3,0.1,0.37,19.09,19.49
2,3,0.3,0.2,0.44,20.98,19.45
2,3,0.3,0.3,0.51,22.87,19.4
2,3,0.3,0.4,0.58,24.76,19.32
2,3,0.3,0.5,0.65,26.65,19.34
2,3,0.3,0.6,0.72,28.54,19.44
2,3,0.3,0.7,0.79,30.43,19.53
2,3,0.3,0.8,0.86,32.32,19.59
2,3,0.3,0.9,0.93,34.21,19.74
2,3,0.3,1.0,1.0,36.1,19.95
2,3,0.4,0.0,0.4,18.6,19.42
2,3,0.4,0.1,0.46,20.22,19.43
2,3,0.4,0.2,0.52,21.84,19.44
2,3,0.4,0.3,0.58,23.46,19.41
2,3,0.4,0.4,0.64,25.08,19.36
2,3,0.4,0.5,0.7,26.7,19.4
2,3,0.4,0.6,0.76,28.32,19.5
2,3,0.4,0.7,0.82,29.94,19.59
2,3,0.4,0.8,0.88,31.56,19.64
2,3,0.4,0.9,0.94,33.18,19.79
2,3,0.4,1.0,1.0,34.8,19.95
2,3,0.5,0.0,0.5,20.0,19.3
2,3,0.5,0.1,0.55,21.35,19.35
2,3,0.5,0.2,0.6,22.7,19.38
2,3,0.5,0.3,0.65,24.05,19.37
2,3,0.5,0.4,0.7,25.4,19.37
2,3,0.5,0.5,0.75,26.75,19.42
2,3,0.5,0.6,0.8,28.1,19.54
2,3,0.5,0.7,0.85,29.45,19.62
2,3,0.5,0.8,0.9,30.8,19.68
2,3,0.5,0.9,0.95,32.15,19.79
2,3,0.5,1.0,1.0,33.5,19.95
2,3,0.6,0.0,0.6,21.4,19.34
2,3,0.6,0.1,0.64,22.48,19.41
2,3,0.6,0.2,0.68,23.56,19.44
2,3,0.6,0.3,0.72,24.64,19.45
2,3,0.6,0.4,0.76,25.72,19.47
2,3,0.6,0.5,0.8,26.8,19.53
2,3,0.6,0.6,0.84,27.88,19.63
2,3,0.6,0.7,0.88,28.96,19.69
2,3,0.6,0.8,0.92,30.04,19.74
2,3,0.6,0.9,0.96,31.12,19.82
2,3,0.6,1.0,1.0,32.2,19.95
2,3,0.7,0.0,0.7,22.8,19.38
2,3,0.7,0.1,0.73,23.61,19.48
2,3,0.7,0.2,0.76,24.42,19.51
2,3,0.7,0.3,0.79,25.23,19.55
2,3,0.7,0.4,0.82,26.04,19.58
2,3,0.7,0.5,0.85,26.85,19.64
2,3,0.7,0.6,0.88,27.66,19.71
2,3,0.7,0.7,0.91,28.47,19.75
2,3,0.7,0.8,0.94,29.28,19.79
2,3,0.7,0.9,0.97,30.09,19.85
2,3,0.7,1.0,1.0,30.9,19.95
2,3,0.8,0.0,0.8,24.2,19.49
2,3,0.8,0.1,0.82,24.74,19.58
2,3,0.8,0.2,0.84,25.28,19.62
2,3,0.8,0.3,0.86,25.82,19.65
2,3,0.8,0.4,0.88,26.36,19.67
2,3,0.8,0.5,0.9,26.9,19.72
2,3,0.8,0.6,0.92,27.44,19.77
2,3,0.8,0.7,0.94,27.98,19.79
2,3,0.8,0.8,0.96,28.52,19.82
2,3,0.8,0.9,0.98,29.06,19.87
2,3,0.8,1.0,1.0,29.6,19.95
2,3,0.9,0.0,0.9,25.6,19.71
2,3,0.9,0.1,0.91,25.87,19.76
2,3,0.9,0.2,0.92,26.14,19.79
2,3,0.9,0.3,0.93,26.41,19.8
2,3,0.9,0.4,0.94,26.68,19.8
2,3,0.9,0.5,0.95,26.95,19.82
2,3,0.9,0.6,0.96,27.22,19.85
2,3,0.9,0.7,0.97,27.49,19.86
2,3,0.9,0.8,0.98,27.76,19.88
2,3,0.9,0.9,0.99,28.03,19.9
2,3,0.9,1.0,1.0,28.3,19.95
2,3,1.0,0.0,1.0,27.0,19.95
2,3,1.0,0.1,1.0,27.0,19.95
2,3,1.0,0.2,1.0,27.0,19.95
2,3,1.0,0.3,1.0,27.0,19.95
2,3,1.0,0.4,1.0,27.0,19.95
2,3,1.0,0.5,1.0,27.0,19.95
2,3,1.0,0.6,1.0,27.0,19.95
2,3,1.0,0.7,1.0,27.0,19.95
2,3,1.0,0.8,1.0,27.0,19.95
2,3,1.0,0.9,1.0,27.0,19.95
2,3,1.0,1.0,1.0,27.0,19.95
